iter	MultiClass
0	1.20062275
1	1.081289603
2	0.9866880041
3	0.9193470395
4	0.8659024367
5	0.8209795222
6	0.7900371551
7	0.7588153551
8	0.7340110529
9	0.7102913869
10	0.6941989695
11	0.6803704015
12	0.6688730086
13	0.6606007087
14	0.6495309793
15	0.636653834
16	0.6257809774
17	0.6177774328
18	0.6102686436
19	0.6053367382
20	0.6003990258
21	0.5939927243
22	0.5889092472
23	0.5845141261
24	0.5815966452
25	0.5791384856
26	0.5748892847
27	0.570213645
28	0.5657120229
29	0.5627496916
30	0.5585842753
31	0.5561628674
32	0.5538739522
33	0.5507778296
34	0.549481786
35	0.5469426114
36	0.5445545804
37	0.5422808504
38	0.5407785376
39	0.539169426
40	0.5385028567
41	0.5362106269
42	0.534799467
43	0.5333856824
44	0.5315860486
45	0.530206151
46	0.52961244
47	0.5281502605
48	0.5263243761
49	0.5246343141
50	0.5239769492
51	0.5230890969
52	0.5224969078
53	0.5218577156
54	0.5211762142
55	0.5202085758
56	0.5191458021
57	0.5183612176
58	0.5176024036
59	0.5170853945
60	0.5164972452
61	0.5163768754
62	0.5159057697
63	0.5154540374
64	0.5148045116
65	0.5134410126
66	0.512358519
67	0.511851437
68	0.511107211
69	0.5108294975
70	0.5099688012
71	0.5096273926
72	0.5090094448
73	0.5083827007
74	0.5072942476
75	0.5070787576
76	0.5066473405
77	0.5063621736
78	0.5053606346
79	0.5048145123
80	0.504516748
81	0.5037028387
82	0.5033006498
83	0.5028212443
84	0.5023469755
85	0.501923173
86	0.5012028934
87	0.5009363177
88	0.5006010455
89	0.5003273956
90	0.5000452169
91	0.4998623157
92	0.4996789121
93	0.4993664119
94	0.4993016149
95	0.4989313582
96	0.4983803087
97	0.4978606345
98	0.4976069019
99	0.4970986894
100	0.4969042502
101	0.4966332802
102	0.4964353204
103	0.4956772381
104	0.4953188482
105	0.495274699
106	0.494852705
107	0.4946142162
108	0.4941590532
109	0.4940601056
110	0.4936777534
111	0.4935756176
