iter	Passed	Remaining
0	10	3696
1	20	3524
2	31	3677
3	42	3691
4	53	3725
5	66	3839
6	79	3896
7	92	3962
8	105	3987
9	119	4075
10	130	4031
11	141	3994
12	152	3942
13	161	3875
14	171	3840
15	184	3855
16	199	3904
17	212	3915
18	223	3889
19	233	3846
20	243	3811
21	254	3798
22	264	3765
23	275	3747
24	286	3721
25	296	3696
26	307	3682
27	318	3667
28	332	3683
29	344	3672
30	357	3674
31	368	3663
32	379	3647
33	391	3634
34	400	3606
35	412	3596
36	425	3595
37	435	3574
38	444	3543
39	455	3530
40	464	3499
41	476	3491
42	486	3474
43	497	3456
44	507	3438
45	519	3431
46	527	3401
47	538	3385
48	549	3374
49	561	3370
50	570	3347
51	580	3326
52	589	3305
53	599	3284
54	608	3262
55	617	3244
56	627	3225
57	637	3210
58	647	3194
59	656	3174
60	667	3163
61	677	3147
62	687	3133
63	698	3122
64	708	3108
65	719	3095
66	730	3086
67	739	3067
68	749	3052
69	758	3033
70	768	3019
71	777	3002
72	786	2986
73	796	2970
74	807	2960
75	817	2945
76	827	2934
77	837	2919
78	848	2911
79	859	2899
80	868	2883
81	879	2873
82	888	2858
83	898	2845
84	908	2830
85	917	2816
86	928	2805
87	939	2797
88	949	2783
89	957	2766
90	967	2752
91	976	2739
92	986	2725
93	995	2712
94	1004	2695
95	1015	2685
96	1025	2674
97	1034	2661
98	1043	2646
99	1054	2635
100	1064	2623
101	1073	2610
102	1082	2596
103	1092	2583
104	1101	2569
105	1109	2554
106	1119	2543
107	1129	2531
108	1140	2521
109	1148	2506
110	1157	2491
111	1166	2478
112	1175	2465
113	1185	2454
114	1195	2443
115	1205	2431
116	1214	2419
117	1225	2409
118	1233	2395
119	1243	2382
120	1251	2368
121	1261	2357
122	1273	2349
123	1286	2344
124	1294	2330
125	1304	2319
126	1313	2305
127	1321	2292
128	1332	2282
129	1343	2273
130	1352	2261
131	1363	2251
132	1373	2240
133	1381	2226
134	1390	2214
135	1399	2201
136	1408	2190
137	1417	2178
138	1427	2166
139	1438	2157
140	1449	2148
141	1459	2137
142	1470	2129
143	1479	2116
144	1488	2104
145	1497	2093
146	1508	2082
147	1517	2071
148	1525	2058
149	1534	2046
150	1543	2034
151	1554	2024
152	1563	2013
153	1572	2001
154	1583	1991
155	1593	1981
156	1603	1971
157	1613	1961
158	1625	1952
159	1636	1943
160	1645	1932
161	1654	1920
162	1664	1909
163	1674	1898
164	1683	1887
165	1693	1877
166	1702	1865
167	1713	1856
168	1722	1845
169	1732	1834
170	1742	1824
171	1752	1813
172	1763	1803
173	1772	1793
174	1782	1782
175	1791	1771
176	1800	1760
177	1809	1748
178	1818	1737
179	1826	1725
180	1836	1714
181	1847	1705
182	1855	1693
183	1865	1682
184	1874	1671
185	1883	1660
186	1892	1649
187	1900	1637
188	1909	1626
189	1919	1616
190	1928	1605
191	1937	1594
192	1946	1583
193	1956	1573
194	1965	1562
195	1974	1551
196	1985	1541
197	1994	1530
198	2004	1521
199	2014	1510
200	2024	1500
201	2033	1490
202	2044	1480
203	2053	1469
204	2063	1459
205	2073	1449
206	2082	1438
207	2091	1427
208	2100	1417
209	2109	1406
210	2121	1397
211	2133	1388
212	2144	1379
213	2154	1369
214	2164	1358
215	2174	1349
216	2186	1339
217	2196	1329
218	2204	1318
219	2213	1308
220	2222	1297
221	2230	1286
222	2241	1276
223	2251	1266
224	2263	1257
225	2271	1246
226	2281	1236
227	2290	1225
228	2299	1215
229	2313	1206
230	2321	1196
231	2332	1186
232	2341	1175
233	2350	1165
234	2360	1155
235	2372	1145
236	2381	1135
237	2391	1125
238	2403	1116
239	2412	1105
240	2421	1095
241	2430	1084
242	2439	1074
243	2448	1063
244	2458	1053
245	2468	1043
246	2478	1033
247	2486	1022
248	2496	1012
249	2506	1002
250	2516	992
251	2526	982
252	2536	972
253	2545	962
254	2556	952
255	2567	942
256	2576	932
257	2586	922
258	2597	912
259	2606	902
260	2615	892
261	2627	882
262	2636	872
263	2645	861
264	2654	851
265	2665	841
266	2674	831
267	2685	821
268	2695	811
269	2704	801
270	2714	791
271	2724	781
272	2735	771
273	2745	761
274	2757	752
275	2767	742
276	2779	732
277	2787	722
278	2797	711
279	2805	701
280	2815	691
281	2824	681
282	2835	671
283	2845	661
284	2854	651
285	2864	640
286	2875	631
287	2884	621
288	2893	610
289	2906	601
290	2914	590
291	2923	580
292	2934	570
293	2945	560
294	2954	550
295	2965	541
296	2975	530
297	2985	520
298	2994	510
299	3003	500
300	3012	490
301	3021	480
302	3030	470
303	3041	460
304	3051	450
305	3060	440
306	3069	429
307	3078	419
308	3088	409
309	3097	399
310	3107	389
311	3116	379
312	3127	369
313	3136	359
314	3146	349
315	3154	339
316	3164	329
317	3173	319
318	3183	309
319	3192	299
320	3201	289
321	3213	279
322	3223	269
323	3233	259
324	3241	249
325	3252	239
326	3263	229
327	3273	219
328	3282	209
329	3292	199
330	3301	189
331	3311	179
332	3322	169
333	3331	159
334	3342	149
335	3353	139
336	3364	129
337	3376	119
338	3385	109
339	3397	99
340	3409	89
341	3419	79
342	3429	69
343	3439	59
344	3449	49
345	3459	39
346	3470	30
347	3481	20
348	3491	10
349	3502	0
